time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-27T03:05:26.000Z,62.9493,-148.1275,8.2,0.1,ml,,,,0.13,ak,ak11274153,2014-05-27T03:25:22.216Z,"64km SE of Cantwell, Alaska",earthquake
2014-05-27T02:53:08.000Z,19.0471,-64.6,30,2.9,Md,7,302.4,0.62702407,0.2,pr,pr14147000,2014-05-27T10:55:35.246Z,"69km N of Road Town, British Virgin Islands",earthquake
2014-05-27T02:51:16.300Z,33.6558,-116.6948,15.1,1,Ml,19,64.8,0.01796631,0.17,ci,ci15505833,2014-05-27T02:53:39.222Z,"9km SSE of Idyllwild, California",earthquake
2014-05-27T02:49:32.680Z,36.1227,-97.2437,6.52,2.7,mb_lg,,63,0.365,0.46,us,usb000r4wl,2014-05-27T06:36:28.420Z,"16km W of Stillwater, Oklahoma",earthquake
2014-05-27T02:49:07.000Z,60.2477,-150.8049,9,1.4,ml,,,,0.62,ak,ak11274152,2014-05-27T03:10:01.852Z,"30km SSE of Soldotna, Alaska",earthquake
2014-05-27T02:25:15.000Z,38.8172,-122.8175,0.6,1.3,Md,21,46.8,0.00898315,0.06,nc,nc72227686,2014-05-27T04:59:06.549Z,"6km NW of The Geysers, California",earthquake
2014-05-27T02:23:24.000Z,63.5019,-150.8919,0.1,1.5,ml,,,,0.68,ak,ak11274148,2014-05-27T02:39:13.560Z,"97km W of Cantwell, Alaska",earthquake
2014-05-27T02:11:17.900Z,36.0925,-117.6615,0.01,1.25,ml,14,157,0.09995,0.21,ci,ci15505801,2014-05-27T02:15:30.580Z,"42km NNW of Searles Valley, California",earthquake
2014-05-27T02:11:02.480Z,33.5905,-116.6358333,14.73,2.28,ml,67,31,0.02417,0.25,ci,ci15505793,2014-05-27T02:22:28.120Z,"5km NE of Anza, California",earthquake
2014-05-27T02:01:16.000Z,62.9159,-151.0462,99.1,1.4,ml,,,,0.57,ak,ak11273993,2014-05-27T02:23:34.671Z,"81km NW of Talkeetna, Alaska",earthquake
2014-05-27T01:51:11.350Z,32.8535,-116.6108333,18.57,1.36,ml,32,64,0.1632,0.2,ci,ci15505785,2014-05-27T01:55:12.190Z,"0km E of Descanso, California",earthquake
2014-05-27T01:40:34.000Z,61.4978,-149.8867,29,1.8,ml,,,,0.69,ak,ak11273989,2014-05-27T02:09:51.804Z,"4km SE of Big Lake, Alaska",earthquake
2014-05-27T01:40:10.500Z,38.7992,-122.7332,1.2,0.6,Md,8,97.2,0.01796631,0.01,nc,nc72227656,2014-05-27T03:43:06.236Z,"2km SSW of Cobb, California",earthquake
2014-05-27T01:30:08.090Z,33.7738333,-115.9478333,2.51,1.55,ml,33,61,0.1235,0.18,ci,ci15505777,2014-05-27T01:41:07.930Z,"23km ENE of Coachella, California",earthquake
2014-05-27T01:04:52.000Z,63.2916,-151.8089,4.7,1.3,ml,,,,0.76,ak,ak11273988,2014-05-27T01:16:07.304Z,"138km NW of Talkeetna, Alaska",earthquake
2014-05-27T00:49:11.580Z,33.7746667,-115.9481667,4.29,1.58,ml,38,44,0.1242,0.23,ci,ci15505769,2014-05-27T00:59:48.830Z,"23km ENE of Coachella, California",earthquake
2014-05-27T00:44:16.830Z,38.8170013,-122.8144989,3.26,0.43,md,9,73,0.00726,0.02,nc,nc72227631,2014-05-27T02:48:06.030Z,"6km NW of The Geysers, California",earthquake
2014-05-26T23:35:32.000Z,38.7865,-122.7367,2.5,0.3,Md,6,90,0,0.02,nc,nc72227616,2014-05-27T02:04:05.827Z,"1km ENE of The Geysers, California",earthquake
2014-05-26T23:28:11.000Z,60.7811,-144.9021,35.7,2.2,ml,,,,1.72,ak,ak11273983,2014-05-26T23:51:29.569Z,"53km ENE of Cordova, Alaska",earthquake
2014-05-26T23:24:11.900Z,38.7929993,-122.7986679,3.68,0.41,md,8,96,0.005797,0.01,nc,nc72227611,2014-05-27T02:19:05.902Z,"4km WNW of The Geysers, California",earthquake
2014-05-26T23:19:20.030Z,34.5766667,-118.053,8.59,1.2,ml,18,46,0.08883,0.21,ci,ci15505745,2014-05-26T23:23:39.310Z,"5km E of Palmdale, California",earthquake
2014-05-26T23:15:48.680Z,38.8013344,-122.8111649,3.26,0.52,md,9,178,0.01405,0.01,nc,nc72227606,2014-05-27T01:38:05.720Z,"5km WNW of The Geysers, California",earthquake
2014-05-26T23:15:25.000Z,62.6488,-148.158,37.6,1.1,ml,,,,0.79,ak,ak11273981,2014-05-26T23:39:14.455Z,"92km SSE of Cantwell, Alaska",earthquake
2014-05-26T23:10:17.000Z,64.9949,-147.4423,0.1,1.3,ml,,,,0.49,ak,ak11273978,2014-05-26T23:39:13.292Z,"21km NE of Fairbanks, Alaska",earthquake
2014-05-26T23:05:36.170Z,33.8761667,-117.559,0.01,1.05,ml,17,54,0.09079,0.42,ci,ci15505737,2014-05-26T23:09:59.000Z,"0km E of Corona, California",earthquake
2014-05-26T22:53:00.800Z,33.6345,-116.6825,20,1,Ml,22,104.4,0.06288207,0.19,ci,ci15505729,2014-05-26T22:55:17.551Z,"8km N of Anza, California",earthquake
2014-05-26T22:49:07.700Z,38.7952,-122.8042,3.5,0.9,Md,12,54,0.00898315,0.04,nc,nc72227591,2014-05-27T01:50:05.763Z,"4km WNW of The Geysers, California",earthquake
2014-05-26T22:44:37.600Z,38.7927,-122.7673,2.8,1.2,Md,27,68.4,0.01796631,0.03,nc,nc72227586,2014-05-27T01:21:05.662Z,"1km NNW of The Geysers, California",earthquake
2014-05-26T22:43:21.900Z,18.7129,-66.4535,60,2.8,Md,13,234,0.24434176,0.21,pr,pr14146014,2014-05-27T06:46:03.191Z,"28km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2014-05-26T22:40:32.100Z,38.7938,-122.8015,4,2.7,Md,64,21.6,0.00898315,0.05,nc,nc72227576,2014-05-27T02:31:56.213Z,"4km WNW of The Geysers, California",earthquake
2014-05-26T22:40:21.000Z,60.8131,-151.5086,67.4,1.9,ml,,,,0.84,ak,ak11273937,2014-05-26T22:55:56.384Z,"18km NW of Nikiski, Alaska",earthquake
2014-05-26T22:30:31.600Z,38.169,-113.0758,0,2.1,Ml,,79.2,0.08983153,0.22,uu,uu60069962,2014-05-27T14:34:09.517Z,"25km SSW of Milford, Utah",earthquake
